"event","experiment time","system time","system time text"
"START",0.000000000E0,1681184904.552,"2023-04-11 09:18:24.552 UTC+05:30"
"PAUSE",7.588503341E2,1681185663.402,"2023-04-11 09:31:03.402 UTC+05:30"
