"event","experiment time","system time","system time text"
"START",0.000000000E0,1679056387.077,"2023-03-17 18:03:07.077 UTC+05:30"
"PAUSE",8.977775345E2,1679057284.854,"2023-03-17 18:18:04.854 UTC+05:30"
