"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
6.123612320E-1	2.639349699E-1	-1.144498825E0	1.953387737E0	2.279311931E0
6.223710020E-1	5.374085903E-2	-1.065448284E0	1.746208191E0	2.046292054E0
6.323808480E-1	-2.511681914E-1	-7.815957069E-1	1.366291523E0	1.593966698E0
6.423600020E-1	-5.271738172E-1	-5.312790871E-1	1.214502335E0	1.426599321E0
6.523698480E-1	-6.511338353E-1	-3.963623047E-1	1.144138336E0	1.374820308E0
6.623796170E-1	-6.076343060E-1	-4.600453377E-1	1.468195915E0	1.654225017E0
6.723587710E-1	-3.197162747E-1	-6.114788055E-1	2.126170158E0	2.235335404E0
6.823686170E-1	3.249260783E-1	-8.353891373E-1	2.829391479E0	2.967980477E0
6.923783860E-1	1.002114058E0	-9.743800163E-1	3.249146461E0	3.537032899E0
7.023577710E-1	1.482955217E0	-9.559688568E-1	3.405528069E0	3.835447048E0
7.123673860E-1	1.903486252E0	-9.115958214E-1	3.099620819E0	3.749922142E0
7.223771560E-1	2.110146284E0	-8.440227509E-1	2.366110802E0	3.280788331E0
7.323563090E-1	2.046352386E0	-8.178162575E-1	1.450647354E0	2.638325087E0
7.423661560E-1	1.840192556E0	-7.926526070E-1	5.363769531E-1	2.074200336E0
7.523759250E-1	1.548449039E0	-8.634195328E-1	-2.584414482E-1	1.791641621E0
7.623550790E-1	1.366146326E0	-9.582953453E-1	-7.527184486E-1	1.830647649E0
7.723649250E-1	1.152549028E0	-9.990510941E-1	-1.130614758E0	1.898621100E0
7.823747710E-1	9.462327957E-1	-9.329366684E-1	-1.370699883E0	1.909069276E0
7.923845400E-1	7.106437683E-1	-8.090324402E-1	-1.518456459E0	1.861520366E0
8.023636940E-1	4.830894470E-1	-6.801748276E-1	-1.529087067E0	1.741872690E0
8.123735400E-1	3.029328585E-1	-6.063375473E-1	-1.390120506E0	1.546560235E0
8.223833100E-1	1.130187511E-1	-5.152268410E-1	-1.171527863E0	1.284799388E0
8.323624640E-1	-6.800818443E-2	-4.286532402E-1	-9.978084564E-1	1.088113243E0
8.423722330E-1	-2.347443700E-1	-3.714718819E-1	-9.427294731E-1	1.040113041E0
8.523820790E-1	-4.318479896E-1	-2.828984261E-1	-7.753195763E-1	9.314744499E-1
8.623612330E-1	-6.193181872E-1	-2.193446159E-1	-6.476674080E-1	9.225725711E-1
8.723710020E-1	-6.181685925E-1	-1.980829239E-1	-5.544967651E-1	8.537188741E-1
8.823808480E-1	-5.265458226E-1	-1.503529549E-1	-5.479898453E-1	7.746930908E-1
8.923600020E-1	-4.467819333E-1	-1.120209694E-1	-5.493969917E-1	7.169378272E-1
9.023698480E-1	-3.997233212E-1	-4.975032806E-2	-6.044840813E-1	7.263985360E-1
9.123796180E-1	-3.791970313E-1	-2.558040619E-2	-6.116666794E-1	7.201255949E-1
9.223587710E-1	-3.312647343E-1	6.394863129E-3	-6.064162254E-1	6.910266687E-1
9.323686180E-1	-1.809244752E-1	4.180574417E-2	-4.811239243E-1	5.157146657E-1
9.423783870E-1	4.201579094E-2	8.745336533E-2	-3.479681015E-1	3.612412178E-1
9.523577720E-1	1.739523411E-1	1.377916336E-1	-2.686100006E-1	3.484211298E-1
9.623673870E-1	2.580961585E-1	1.340398788E-1	-2.900238037E-1	4.107239010E-1
9.723771560E-1	3.422353864E-1	1.354985237E-1	-2.561154366E-1	4.484194760E-1
9.823563100E-1	3.675172329E-1	1.338496208E-1	-2.488856316E-1	4.636040283E-1
9.923661560E-1	3.823707700E-1	6.551361084E-2	-2.785367966E-1	4.775795075E-1
1.002375926E0	3.841162920E-1	3.948593140E-2	-3.366289139E-1	5.122728670E-1
1.012355079E0	3.586162329E-1	5.252933502E-2	-3.765244484E-1	5.226237593E-1
1.022364926E0	3.908970356E-1	1.121401787E-1	-3.523426056E-1	5.380717646E-1
1.032374772E0	6.534032226E-1	1.284289360E-1	-1.523880959E-1	6.831192389E-1
1.042384541E0	1.011033535E0	6.041383743E-2	3.030633926E-2	1.013290242E0
1.052363695E0	1.087423086E0	4.546070099E-2	2.721805573E-1	1.121890324E0
1.062373541E0	1.061479211E0	1.336479187E-2	5.036077499E-1	1.174962765E0
1.072383310E0	9.213389158E-1	1.439094543E-2	8.405051231E-1	1.247205420E0
1.082362464E0	6.320298910E-1	1.474046707E-2	1.115879536E0	1.282523373E0
1.092372233E0	1.991841793E-1	-4.142570496E-2	1.482722282E0	1.496614778E0
1.102382080E0	-2.071543932E-1	-1.245026588E-1	1.696215153E0	1.713347513E0
1.112361233E0	-5.694047213E-1	-1.956257820E-1	1.722100735E0	1.824314152E0
1.122371003E0	-8.512908220E-1	-2.601556778E-1	1.611497402E0	1.841005409E0
1.132380849E0	-1.108406186E0	-1.984443665E-1	1.460363388E0	1.844073118E0
1.142360003E0	-1.188218474E0	-1.455845833E-1	1.397534847E0	1.840152620E0
1.152369849E0	-1.144748569E0	-7.487249374E-2	1.351126671E0	1.772455488E0
1.162379618E0	-1.166213632E0	7.131385803E-2	1.390648365E0	1.816326726E0
1.172358772E0	-1.372801781E0	3.993949890E-1	1.391773224E0	1.995277874E0
1.182368618E0	-1.728868842E0	6.277084351E-1	1.116468906E0	2.151629190E0
1.192378388E0	-2.139955997E0	9.202566147E-1	7.623376846E-1	2.451008497E0
1.202357772E0	-2.462144852E0	1.324780464E0	3.489518166E-1	2.817617419E0
1.212367388E0	-2.489909887E0	1.534759998E0	-1.204185486E-1	2.927394768E0
1.222377157E0	-2.278391361E0	1.557844162E0	-5.806760788E-1	2.820484061E0
1.232356311E0	-2.040518999E0	1.363410473E0	-7.396502495E-1	2.563140338E0
1.242366157E0	-1.831175327E0	8.790526390E-1	-3.635797501E-1	2.063522924E0
1.252375926E0	-1.450437784E0	3.791069984E-1	4.396252632E-1	1.562293908E0
1.262355080E0	-1.086192369E0	-2.203941345E-2	1.652636528E0	1.977753041E0
1.272364926E0	-6.608480215E-1	-3.307085037E-1	3.208599091E0	3.292597204E0
1.282374772E0	-1.972663403E-1	-7.794585228E-1	4.672758102E0	4.741427832E0
1.292384542E0	-1.030788422E-1	-1.080770493E0	5.303425789E0	5.413410681E0
1.302363695E0	-4.288777709E-1	-1.154783249E0	5.296471596E0	5.437837057E0
1.312373542E0	-1.259513259E0	-9.245352745E-1	4.612785339E0	4.870208179E0
1.322383311E0	-1.907711506E0	-5.097594261E-1	3.379562378E0	3.914161434E0
1.332362465E0	-2.337870121E0	-3.294353485E-1	2.223093987E0	3.242886249E0
1.342372234E0	-2.439643860E0	-2.609615326E-1	1.335781097E0	2.793613113E0
1.352382080E0	-2.235807180E0	-3.300657272E-1	5.192708969E-1	2.318926346E0
1.362361234E0	-1.963458419E0	-3.991971016E-1	-2.653121948E-2	2.003804181E0
1.372371003E0	-1.702507734E0	-4.383864403E-1	-4.728145599E-1	1.820513352E0
1.382380850E0	-1.464423180E0	-4.114675522E-1	-9.579477310E-1	1.797638632E0
1.392360003E0	-1.181764960E0	-3.929500580E-1	-1.572068691E0	2.005586732E0
1.402369850E0	-1.024773359E0	-4.304623604E-1	-2.127738476E0	2.400568537E0
1.412379619E0	-9.674731493E-1	-4.865021706E-1	-2.561328888E0	2.780844176E0
1.422358773E0	-9.698989391E-1	-6.188845634E-1	-2.735496521E0	2.967602276E0
1.432368542E0	-1.042582273E0	-8.593974113E-1	-2.671365738E0	2.993615976E0
1.442378388E0	-1.113157868E0	-1.044787884E0	-2.355595589E0	2.807050541E0
1.452357773E0	-1.175342798E0	-1.205587864E0	-1.768010616E0	2.441461515E0
1.462367388E0	-1.256527662E0	-1.264691830E0	-1.106533051E0	2.098266566E0
1.472377157E0	-1.377456903E0	-1.305463791E0	-4.705781937E-1	1.955266495E0
1.482356311E0	-1.466153026E0	-1.290475845E0	-1.402235031E-1	1.958212254E0
1.492366157E0	-1.495839834E0	-1.225104332E0	1.168155670E-2	1.933534042E0
1.502375927E0	-1.389712453E0	-1.172943115E0	8.070468903E-3	1.818560251E0
1.512355081E0	-1.284561038E0	-1.144037724E0	-1.724424362E-1	1.728772908E0
1.522364927E0	-1.166021824E0	-1.131603241E0	-5.146431923E-1	1.704403240E0
1.532374773E0	-1.104854226E0	-1.105994225E0	-8.015532494E-1	1.756819199E0
1.542384542E0	-1.146288157E0	-1.047757149E0	-1.061581612E0	1.881150472E0
1.552363696E0	-1.203606129E0	-1.089156151E0	-1.145359516E0	1.986649757E0
1.562373465E0	-1.217706800E0	-1.065481186E0	-1.166728020E0	1.994821867E0
1.572383312E0	-1.235228062E0	-1.012154102E0	-1.094734669E0	1.936152960E0
1.582362465E0	-1.194385767E0	-8.571548462E-1	-8.887476921E-1	1.717889476E0
1.592372235E0	-1.075092196E0	-7.212443352E-1	-7.660012245E-1	1.504252139E0
1.602382081E0	-8.714647293E-1	-5.801968575E-1	-8.471426964E-1	1.346747904E0
1.612361235E0	-8.180038333E-1	-3.712649345E-1	-1.027724266E0	1.364985381E0
1.622371004E0	-7.703326344E-1	-1.350769997E-1	-1.298298836E0	1.515664221E0
1.632380850E0	-7.866627574E-1	5.477809906E-2	-1.364672184E0	1.576124711E0
1.642360004E0	-5.885830522E-1	1.094894409E-1	-1.560971737E0	1.671840516E0
1.652369850E0	-4.407742023E-1	2.147407532E-1	-1.573839664E0	1.648443744E0
1.662379619E0	-4.077230692E-1	3.323726654E-1	-1.489585400E0	1.579738698E0
1.672358773E0	-4.120755196E-1	4.319753647E-1	-1.008178234E0	1.171679266E0
1.682368619E0	-3.142019510E-1	3.974075317E-1	-4.783606529E-1	6.967671968E-1
1.692378389E0	-1.018357277E-1	2.724742889E-1	-2.196073532E-2	2.917105200E-1
1.702357773E0	3.936409950E-3	1.300592422E-1	2.882122993E-1	3.162233883E-1
1.712367389E0	2.480709553E-2	8.923006058E-2	4.345774651E-1	4.443365491E-1
1.722377158E0	-6.704866886E-2	1.213154793E-1	5.388073921E-1	5.563509462E-1
1.732356312E0	-2.753419876E-1	2.108511925E-1	8.873724937E-1	9.527336344E-1
1.742366158E0	-5.596791506E-1	2.623791695E-1	1.353802204E0	1.488241912E0
1.752375927E0	-8.569819331E-1	3.257436752E-1	1.894581318E0	2.104748286E0
1.762355081E0	-1.075865269E0	2.617945671E-1	2.208956242E0	2.470933052E0
1.772364927E0	-1.085870981E0	1.842622757E-1	2.304936886E0	2.554565016E0
1.782374774E0	-9.021066427E-1	1.863913536E-1	2.257083416E0	2.437819452E0
1.792384543E0	-4.735866785E-1	1.069455147E-1	2.178111076E0	2.231566613E0
1.802363697E0	1.385159492E-1	-1.287651062E-2	2.138404846E0	2.142925047E0
1.812373543E0	6.502484083E-1	-1.724371910E-1	2.286755085E0	2.383654001E0
1.822383312E0	8.557691574E-1	-3.600444794E-1	2.526110172E0	2.691320397E0
1.832362466E0	7.440371513E-1	-4.878273010E-1	2.821544170E0	2.958492566E0
1.842372235E0	3.779612780E-1	-4.819064140E-1	2.994868755E0	3.056849257E0
1.852382081E0	1.872915030E-1	-4.909596443E-1	2.799444675E0	2.848334596E0
1.862361235E0	1.091189384E-1	-4.673047066E-1	2.244641781E0	2.295364319E0
1.872371005E0	-4.020214081E-3	-4.705319405E-1	1.523992062E0	1.594982217E0
1.882380851E0	-3.727152348E-1	-4.867644310E-1	8.493309021E-1	1.047482333E0
1.892360005E0	-1.038916349E0	-4.939255714E-1	4.799270630E-1	1.246450816E0
1.902369851E0	-1.633462548E0	-5.252079964E-1	2.173151970E-1	1.729528615E0
1.912379620E0	-1.956020355E0	-5.463857651E-1	2.219572067E-1	2.042992422E0
1.922358774E0	-1.826243520E0	-5.976557732E-1	4.854125977E-1	1.981914026E0
1.932368620E0	-1.494051099E0	-5.978946686E-1	8.097429276E-1	1.801485590E0
1.942378389E0	-9.852432013E-1	-5.359015465E-1	1.049182415E0	1.535798936E0
1.952357774E0	-3.665715456E-1	-4.487042427E-1	1.275151730E0	1.400614911E0
1.962367389E0	1.816476583E-1	-3.781957626E-1	1.327907562E0	1.392611360E0
1.972377159E0	5.825098753E-1	-4.135260582E-1	1.202690125E0	1.398851347E0
1.982356312E0	7.333064079E-1	-4.450607300E-1	9.885587692E-1	1.308841389E0
1.992366159E0	4.962229729E-1	-4.386258125E-1	6.928901672E-1	9.585022828E-1
2.002375928E0	-1.281023026E-2	-4.151134491E-1	3.555669785E-1	5.467276779E-1
2.012355082E0	-6.024008989E-1	-3.809709549E-1	-1.912212372E-2	7.130156850E-1
2.022364928E0	-1.154632330E0	-3.601708412E-1	-3.712482452E-1	1.265197262E0
2.032374774E0	-1.553230405E0	-3.558821678E-1	-7.624940872E-1	1.766514659E0
2.042384543E0	-1.699019909E0	-3.037490845E-1	-1.033442974E0	2.011699912E0
2.052363697E0	-1.721469641E0	-2.359457016E-1	-1.243754864E0	2.136832763E0
2.062373543E0	-1.646573663E0	-1.568946838E-1	-1.335901260E0	2.126135684E0
2.072383313E0	-1.484117270E0	-8.347558975E-2	-1.312248230E0	1.982818111E0
2.082362467E0	-1.383435249E0	4.606676102E-2	-1.323229790E0	1.914928801E0
2.092372236E0	-1.365735292E0	1.567487717E-1	-1.287073135E0	1.883178250E0
2.102382082E0	-1.357549429E0	3.100328445E-1	-1.340048313E0	1.932560555E0
2.112361236E0	-1.424214602E0	4.904022217E-1	-1.379185200E0	2.042310795E0
2.122371005E0	-1.467156410E0	6.730966568E-1	-1.335210800E0	2.094849618E0
2.132380851E0	-1.451603889E0	8.279595375E-1	-1.186939716E0	2.049755287E0
2.142360005E0	-1.285132289E0	8.754706383E-1	-9.664869308E-1	1.830877065E0
2.152369851E0	-1.114977837E0	8.115215302E-1	-6.792330742E-1	1.537237893E0
2.162379621E0	-9.138709903E-1	8.009653091E-1	-3.015289307E-1	1.252048445E0
2.172358774E0	-6.961535811E-1	8.121232986E-1	-2.926492691E-2	1.070060978E0
2.182368621E0	-2.255827188E-1	7.805447578E-1	1.927185059E-1	8.350317985E-1
2.192378390E0	1.577482224E-1	7.762317657E-1	3.234400749E-1	8.555897018E-1
