"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.219953880E-1,1.696748734E-1,-3.896903992E-2,-5.875952840E-1,6.128428563E-1
6.320052340E-1,2.461314201E-1,-6.926803589E-1,1.724304438E0,1.874463270E0
6.419843880E-1,-3.533811569E-1,-7.508716583E-1,9.968810678E-1,1.297096123E0
6.519941580E-1,-1.140135527E0,-3.252058029E-1,6.806874275E-1,1.367114921E0
6.620040040E-1,-2.010462523E0,-1.409339905E-2,3.505676091E-1,2.040846841E0
6.719831580E-1,-1.899146318E0,8.593940735E-2,4.781740904E-2,1.901691044E0
6.819929270E-1,-2.169646978E0,2.890014648E-2,-8.092886209E-2,2.171348132E0
6.920027730E-1,-2.935585976E0,2.557582855E-1,1.128361106E0,3.155356732E0
7.019819270E-1,-2.293252945E0,2.419376373E-2,-4.651473761E-1,2.340076172E0
7.119916960E-1,-1.370646715E0,-4.053115845E-2,-1.093823433E0,1.754070949E0
7.220015420E-1,-9.234561920E-1,-9.351253510E-2,-2.250754833E-2,9.284516802E-1
7.319806960E-1,-1.104055405E0,-9.165954590E-2,8.374182582E-1,1.388743730E0
7.419904650E-1,-1.191490412E0,9.375572205E-3,1.384209871E0,1.826410214E0
7.520003120E-1,-9.241549969E-1,-5.241203308E-2,1.511719227E0,1.772598234E0
7.620101580E-1,-4.913024902E-1,-3.383350372E-1,8.920440674E-1,1.073122245E0
7.719892350E-1,-7.872562408E-1,-3.221254349E-1,4.936918616E-1,9.834982658E-1
7.819990810E-1,-1.026819468E0,-2.357368469E-1,1.752823591E-1,1.068014038E0
7.920086960E-1,-2.225854397E-1,-1.978530884E-1,3.293336332E-1,4.440166264E-1
8.019880040E-1,4.120564461E-2,-8.246040344E-2,1.284620762E0,1.287923959E0
8.119978500E-1,-1.127662659E-1,-1.680946350E-2,-4.044727683E-1,4.202344692E-1
8.220074660E-1,-1.202561140E0,2.979154587E-1,5.019809604E-1,1.336746723E0
8.319867730E-1,-8.077285290E-1,3.231906891E-2,9.581429958E-1,1.253597981E0
8.419966200E-1,2.902350426E-1,-6.693677902E-1,1.420071363E0,1.596525069E0
8.520064660E-1,-5.135326385E-1,-3.843221664E-1,1.587002158E0,1.711722860E0
8.619856200E-1,-1.306601524E0,3.824472427E-1,8.746131063E-1,1.618153739E0
8.719953890E-1,-1.352466345E0,8.136720657E-1,-5.126099586E-1,1.659516922E0
8.820052350E-1,-1.097078562E0,6.154632568E-1,-1.773813963E0,2.174578664E0
8.919843890E-1,-4.915809631E-1,-8.047866821E-2,-1.774616480E0,1.843201647E0
9.019941580E-1,3.528872728E0,-1.129027367E0,-6.502040625E-1,3.761703185E0
9.120037740E-1,2.649376631E0,-2.121410370E-1,8.820102215E-1,2.800382542E0
9.219830810E-1,3.485739231E-2,1.679342270E0,1.161028862E0,2.041909282E0
9.319929270E-1,1.432807803E0,2.107804298E0,1.097732067E0,2.775030243E0
9.420027740E-1,5.633788109E-1,2.261581421E0,1.051008940E0,2.556709995E0
9.519819280E-1,-1.408101678E0,2.068654060E0,4.686456919E-1,2.545920019E0
9.619916970E-1,-2.432595015E0,1.977411270E0,-8.360919952E-1,3.244491279E0
9.720015430E-1,-1.816524625E0,1.051260948E0,-3.435422182E-1,2.126718728E0
9.819806970E-1,-6.513267756E-1,2.577714920E-1,7.955746651E-1,1.060005546E0
9.919904660E-1,2.003887892E-1,2.327060699E-1,1.060285926E0,1.103863228E0
1.002000312E0,6.461820006E-1,5.091295242E-1,1.056322217E0,1.338872913E0
1.011979466E0,2.517415285E-1,9.777021408E-1,-2.123690844E-1,1.031685951E0
1.021989235E0,1.270198226E-1,1.080925941E0,3.315734863E-1,1.137750369E0
1.031999082E0,-4.025183916E-1,3.774118423E-1,1.198036075E0,1.318996281E0
1.042008697E0,4.436000884E-1,1.460952759E-1,8.175397515E-1,9.415392256E-1
1.051988005E0,1.779440403E0,-1.639099121E-1,7.248222828E-1,1.928378062E0
1.061997851E0,1.448319316E0,-3.656148911E-1,6.300086975E-1,1.621176748E0
1.072007466E0,1.584821701E0,-4.789772034E-1,-4.079151154E-1,1.705131586E0
1.081986851E0,2.322234392E0,-8.727560043E-1,-5.574996471E-1,2.542691777E0
1.091996620E0,2.663371086E0,-1.134295464E0,-4.231855869E-1,2.925620922E0
1.102006236E0,1.833629131E0,-9.363174438E-1,5.513875484E-1,2.131411358E0
1.111985543E0,6.873647571E-1,-4.878644943E-1,6.603391171E-1,1.070761329E0
1.121995389E0,-4.657353759E-1,-7.748603821E-2,2.111783028E-1,5.172134975E-1
1.132005236E0,-3.441849053E-1,-2.925586700E-2,1.215770245E-1,3.661968428E-1
1.141984389E0,2.218731195E-1,-5.560016632E-1,3.712983131E-1,7.044345023E-1
1.151994159E0,2.740550041E-1,-1.179887772E0,4.800813198E-1,1.302965607E0
1.162003774E0,1.243691206E0,-1.525469780E0,2.248620987E-1,1.981007024E0
1.171983082E0,3.036026478E0,-1.895010948E0,1.296801567E-1,3.581248415E0
1.181992928E0,3.693602085E0,-1.793054581E0,-2.946681976E-1,4.116378316E0
1.192002543E0,3.810090542E0,-1.744160175E0,-2.587423325E-1,4.198313024E0
1.201981928E0,3.482272148E0,-1.827888966E0,-4.679951668E-1,3.960608143E0
1.211991697E0,1.878615022E0,-1.557952404E0,-8.294916153E-1,2.577686256E0
1.222001544E0,5.379810333E-1,-1.314796925E0,-7.035131454E-1,1.585258746E0
1.231980697E0,-1.251683235E-1,-1.408349037E0,-5.157642365E-1,1.505033843E0
1.241990467E0,-4.935401678E-1,-1.552198410E0,-2.856860161E-1,1.653637899E0
