"event","experiment time","system time","system time text"
"START",0.000000000E0,1679054398.599,"2023-03-17 17:29:58.599 UTC+05:30"
"PAUSE",9.253312003E2,1679055323.930,"2023-03-17 17:45:23.930 UTC+05:30"
